city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471273,19,471273_19,XY_HMNB_XT_分宜县香竹坑$F1FX_W,XY_HM_W_XT_分宜县香竹坑$F1FX-6,114.652,27.8021,宏站,华为,县城,城区,27,29440,5,260,2017/9/29 0:00,99638,城市, 
新余市,分宜县,471168,17,471168_17,XY_HMNB_XT_分宜县祥山背$F1FX_W,XY_HM_W_XT_分宜县祥山背$F1FX-4,114.678,27.8008,宏站,华为,县城,城区,426,29725,5,0,2017/9/29 0:00,99639,城市, 
新余市,分宜县,471168,18,471168_18,XY_HMNB_XT_分宜县祥山背$F1FX_W,XY_HM_W_XT_分宜县祥山背$F1FX-5,114.678,27.8008,宏站,华为,县城,城区,427,29725,5,100,2017/9/29 0:00,99640,城市, 
新余市,分宜县,471168,19,471168_19,XY_HMNB_XT_分宜县祥山背$F1FX_W,XY_HM_W_XT_分宜县祥山背$F1FX-6,114.678,27.8008,宏站,华为,县城,城区,428,29725,5,280,2017/9/29 0:00,99641,城市, 
新余市,分宜县,471275,17,471275_17,XY_HMNB_XT_分宜县怡心花园$F1FX_W,XY_HM_W_XT_分宜县怡心花园$F1FX-4,114.674375,27.816489,宏站,华为,县城,城区,150,29441,5,0,2017/9/29 0:00,99642,城市, 
新余市,分宜县,471275,18,471275_18,XY_HMNB_XT_分宜县怡心花园$F1FX_W,XY_HM_W_XT_分宜县怡心花园$F1FX-5,114.674375,27.816489,宏站,华为,县城,城区,152,29441,5,120,2017/9/29 0:00,99643,城市, 
新余市,分宜县,471275,19,471275_19,XY_HMNB_XT_分宜县怡心花园$F1FX_W,XY_HM_W_XT_分宜县怡心花园$F1FX-6,114.674375,27.816489,宏站,华为,县城,城区,151,29441,5,240,2017/9/29 0:00,99644,城市, 
新余市,分宜县,471390,17,471390_17,XY_HM_XT_分宜洋江乡$F2FY_W,XY_HM_W_XT_分宜洋江乡$F2FY-4,114.53861,27.859375,宏站,华为,乡镇,农村,119,29465,5,0,2017/9/29 0:00,99645,农村, 
新余市,分宜县,471390,18,471390_18,XY_HM_XT_分宜洋江乡$F2FY_W,XY_HM_W_XT_分宜洋江乡$F2FY-5,114.53861,27.859375,宏站,华为,乡镇,农村,118,29465,5,120,2017/9/29 0:00,99646,农村, 
新余市,分宜县,471390,19,471390_19,XY_HM_XT_分宜洋江乡$F2FY_W,XY_HM_W_XT_分宜洋江乡$F2FY-6,114.53861,27.859375,宏站,华为,乡镇,农村,117,29465,5,220,2017/9/29 0:00,99647,农村, 
